	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
Run_96cell1	1.3109717	-0.06495133	0.95618856	-0.014146439	0.047328677	0.062459096	1.0948976	0.028709086	1.0779954	0.0005021887	-0.029615272	0.1568646	0.08882439	0.88658607	-0.005909592	1.2129508	0.96319795	1.4970984	0.8989797	0.39337012	0.6112998	-0.01632978	1.1238954	1.6043572	1.0118139	0.1109922	0.08710043	1.1475744	-0.0025474774	0.56839615	0.016270509	0.03743314	0.07890802	0.8327196	0.89189786	0.84955925	1.0674852	-0.0071019325	1.1593406	0.1020384	1.1602851	1.0560262	0.649334	1.123691	1.0409542	-0.18953738	1.2547523	-0.036889065	1.1417369	0.16950417	0.006134633	0.5525267	0.47021705	0.97055334	0.08843418	1.057482	1.1043705	0.6799682	1.1235511	1.1344523	1.250659	0.0027292185	1.0779743	0.7205649
Run_96cell10	1.0910987	-0.026467944	1.0751874	0.07497989	0.20901866	0.10268954	0.5252462	-0.005042115	1.0184329	0.017489638	0.14008006	0.28682932	0.87437814	1.0287426	0.02410116	1.017271	0.917098	0.9315221	0.2750255	1.0310345	0.8564153	0.015216876	1.0259397	0.70848656	0.6909088	-0.058283567	-0.013886046	0.9645121	-0.02665316	1.1222672	0.012232067	-0.03673274	-0.017691812	0.87931293	-0.0217833	1.1080174	0.991155	-0.018656058	0.7912119	1.1286217	0.29147348	0.97024286	0.8246775	0.9999189	0.23714207	0.27148026	0.74644697	0.06523135	0.6418504	0.06638455	0.060207415	0.1857206	0.36375183	0.9883843	0.10003881	0.38370645	0.6895892	0.9495267	0.8352468	0.988316	0.608893	-0.120325774	0.79640126	0.10083427
Run_96cell11	0.91981196	-0.029145807	1.0926913	0.04288296	0.21741293	-0.01446481	0.93285733	0.03470727	0.85230696	0.04886666	0.08362501	0.3130344	0.976454	1.0291142	0.0009939186	0.9933424	0.8340121	0.47352752	0.42525688	0.9381552	1.0304686	0.03851273	1.0324037	0.3936851	0.5384013	0.20549607	0.099175215	0.8922449	-0.017457165	1.1321398	-0.0154646095	-0.01087638	0.03498338	1.0200487	0.055100694	1.0429362	0.99576324	-0.0135396905	1.1103735	0.70661086	0.9162436	1.1217889	0.9391719	1.0008616	1.1049864	-0.022688609	0.6409747	0.060582016	0.91857433	-0.022160266	0.07165691	-0.080547854	0.74004763	0.89998764	0.044620056	0.8007145	0.6717025	0.91014874	1.0128706	0.9862662	0.6394331	0.031268276	0.82679355	0.22521704
Run_96cell12	0.7411314	-0.041720178	1.036483	0.12033251	0.047731634	0.16579522	0.53343177	-0.0017428827	0.95190555	-0.07542727	0.2473265	0.60833144	0.96703625	0.9155749	0.02457286	0.8933909	1.0426788	0.92367345	0.23050554	0.3133039	0.87924194	0.046392713	1.0204556	0.09904395	0.59130526	0.1620026	0.051561754	0.9557863	0.07561299	1.0086521	0.006616676	0.09805541	0.05278869	0.35217464	0.11234804	0.97497225	0.9365671	0.02802704	0.9039053	0.53200394	0.77126193	1.061513	0.75031394	1.0422359	0.5080454	0.4641693	0.7602481	0.061398547	1.0313267	0.047253132	-0.036474645	0.026422784	0.63689417	0.22878912	0.09844566	0.43140393	0.8099903	0.51481736	0.8460476	0.64681464	-0.0019457452	0.030715518	0.82803315	-0.08588144
Run_96cell13	0.9235359	0.045645095	0.96219254	0.09482015	-0.025721654	0.025705278	-0.20685509	0.1844372	1.0509524	-0.020445079	0.1835642	0.44157168	0.8709239	0.69432616	0.056586668	0.97284406	1.0510982	1.1080772	0.5039068	0.30686992	0.7862209	0.07930443	0.8934588	0.644251	0.75594354	-0.011267335	0.12857302	0.84605086	0.09729527	0.985707	0.00945708	0.11797302	0.04260374	0.16092737	0.13450034	0.90742207	0.8372447	-0.0028993133	0.67016023	0.68841445	0.90973115	0.78101194	0.61555487	0.91272444	0.5479552	0.23784357	0.28814098	0.074836016	0.93289137	0.006967656	0.0581511	0.044770144	0.3753174	0.5049406	0.22464521	0.50251216	0.67355305	0.3720437	0.67723113	0.70202345	0.427614	0.08574193	0.65188265	0.29468602
Run_96cell14	1.0235752	0.08995713	1.0177208	0.027063062	-0.013230312	-0.02148404	0.4292189	0.19070543	0.9000639	-0.030697092	-0.08462845	1.1555269	0.9951836	1.0807238	-0.0285162	1.0004537	0.89863306	1.1082325	0.088442035	0.08347145	0.51548123	-0.042590704	1.0076805	0.51742214	0.9582217	0.7024521	-0.055585716	1.018881	0.06503341	0.98482066	0.016814196	0.13125026	0.07406272	0.17332068	0.026976116	0.95825136	0.96804744	0.017334893	0.0074496865	1.2485946	0.86453474	1.1443738	0.2754226	0.87169135	0.8685321	0.40412626	1.01915	0.051405657	1.018022	-0.014390767	0.09829165	-0.027270237	0.49943852	0.9776587	0.17899862	0.49082226	0.81137717	0.738355	1.1391691	0.8858764	-0.2918059	0.034741566	0.7968997	-0.009278856
Run_96cell15	1.034467	0.37680864	1.0357232	0.057295308	-0.01381484	0.0010940311	1.7277896e-05	0.02596307	0.96669066	0.011650133	-0.05153177	1.0723729	0.94931626	1.0944684	-0.038570195	1.0152298	0.8583953	1.1912782	0.14366664	0.10710724	0.5312929	-0.032110013	1.0311868	1.0770875	1.0195531	0.47340673	0.056427512	1.0410454	0.04246555	1.0239836	-0.0377781	0.03331992	0.008325215	0.110389	-0.012102501	1.0753347	1.0490131	-0.026705736	-0.18107647	1.1412611	0.7127689	0.92200375	0.15932289	1.0069103	0.59657794	0.43282315	1.2251133	-0.011078765	0.80575454	0.30273232	0.066591755	0.0631696	0.5726999	1.3082601	0.08525128	0.30265266	0.8330411	0.88107395	0.9454514	1.0512855	0.62031794	0.0023980383	0.83655155	0.020237388
Run_96cell16	0.8072525	0.19020307	1.0320699	0.39560604	0.09175635	-0.024740085	0.12473353	0.85437924	0.57097185	0.10734126	0.87623703	0.1917019	0.4734859	0.55755734	0.09425857	0.19419661	1.1374984	0.23986274	0.83970875	0.6117803	0.7701281	0.044014722	0.9904569	0.8977457	-0.056528814	0.41556504	0.05064402	0.99984634	0.2666468	0.9521082	0.4934252	0.033715665	0.13600008	0.02825014	0.10990702	1.0390335	0.7751091	0.027978504	0.17549059	1.2321008	0.76362205	0.8825804	0.13142245	0.67417127	0.5452122	0.141969	0.070146	-0.00923339	0.66014355	0.636013	0.021874417	0.23568276	0.98575276	0.90944785	0.3958853	0.4291777	0.14708637	0.7000117	0.3882683	0.7766249	-0.07855688	0.009725573	0.03516651	1.1976767
Run_96cell17	1.0426066	0.035257943	1.0018598	-0.0155715505	-0.045860205	0.03090123	0.9118749	-0.04216052	1.0169799	-0.015869427	-0.018712293	0.98398983	0.96918535	1.048609	-0.007787708	0.9712472	0.97003573	0.59195787	0.27243528	0.09122774	0.89774936	0.030316437	1.0131797	0.88448495	0.97759604	-0.036758155	-0.0013738573	0.95567393	-0.005005152	0.9877554	0.014150823	0.04526616	-0.011487631	1.028659	0.034976617	1.0170108	0.9434553	-0.012355462	0.78328604	0.0016450025	0.9919453	1.024373	0.9850572	0.98379785	1.0609727	-0.04628527	1.0025915	0.018862464	0.97636765	-0.05293454	0.011417016	0.18645869	0.12856407	0.9887637	-0.025799055	0.96180415	0.96725833	0.0750464	1.043158	1.0332546	0.95723325	0.021957653	1.026341	1.0069969
Run_96cell18	-0.093532905	0.03626509	0.8601055	0.12617096	0.990897	1.084112	1.1861298	0.99630946	1.102312	1.0475568	0.35920697	0.59608305	0.46922374	0.2458751	-0.023482718	0.8874232	-0.07853778	1.0316575	0.006098183	0.9928646	1.0709795	0.0780325	0.9770306	0.14380254	-0.022159211	0.049627945	0.8577956	0.1337235	1.0618532	0.015927352	0.0029863212	0.76244086	0.12110361	0.7860858	0.046748593	0.7326249	0.9292262	0.036645718	0.018912017	0.29129472	0.92183775	0.1131433	-0.08911088	-0.051997125	1.1351681	-0.084496036	0.27157253	0.09670558	0.27181894	1.1568401	0.03537221	1.0495118	1.0104297	0.030326985	0.95038325	0.72135174	0.7447929	0.43288004	0.06912884	1.0688944	0.91317624	-0.003988182	0.098138556	1.0980909
